player_id,age,club_id,estimated_selling_value,expiry_date,name,position,rating,selling_value,selling_value_difference,transfer_status,updated_date,wage,value,contract,experience,personality,weeks_at_the_club,highest_bidding_club
7643100,30,85789,11751032,NULL,"Daniel Rus",DEFENDER_CENTER,16,7002000,4749032,ALREADY_SOLD,NULL,1946,535427,"Until the end of the season",0,"He has low self-belief and can sometimes buckle under pressure.",279,"C.S. SPARTA"
11032868,17,37118,10366368,"2019-11-15 22:21:00","Walterus Riemersma",DEFENDER_RIGHT,8,703000,0,ALREADY_SOLD,NULL,179,83620,"2 seasons",0,"Walterus is a true role model that younger players can look up to.",68,"Classica Lanusei"
10794339,18,55040,13120822,"2019-11-16 00:09:00","Ljubomir Rusic",MIDFIELDER_CENTER,13,6291000,0,ALREADY_SOLD,NULL,693,221176,"2 seasons",0,-,89,"FC Golda Boys"
10091766,20,106139,14122298,"2019-11-16 00:04:00","Gwendal Delannoy",DEFENDER_LEFT,16,595000,0,ALREADY_SOLD,NULL,999,397692,"3 seasons",0,-,29,"Bridge United"
10596563,21,101359,8546327,"2019-11-15 23:20:00","Rafael Gutierrez",ATTACKER_LEFT,7,1000,0,ALREADY_SOLD,NULL,118,116641,"Until the end of the season",0,-,109,"Ολυμπιακός FC"
10286408,20,101359,10994201,"2019-11-15 23:21:00","Benedicto Rivera",ATTACKER_CENTER,11,10000,0,ALREADY_SOLD,NULL,493,236553,"Until the end of the season",0,-,129,"Ολυμπιακός FC"
10905813,20,101359,7639695,"2019-11-15 23:21:00","Richard Garcia",DEFENDER_RIGHT,5,3000,0,ALREADY_SOLD,NULL,48,101118,"Until the end of the season",0,-,89,"Maoo United"
10309427,22,105856,15575545,"2019-11-16 10:07:00","Aljaz Vugrincic",DEFENDER_CENTER,20,117000,0,ALREADY_SOLD,NULL,2128,994200,"Until the end of the season",0,"He is very focused on the task he's performing.",43,"Rasni Ploditelji"
9810878,22,104920,14657454,"2019-11-16 00:00:00","Slawomir Stybak",DEFENDER_CENTER,18,507000,0,ALREADY_SOLD,NULL,2264,684078,"3 seasons",0,-,64,"Royal Antwerp Football Club"
8508430,27,103457,12922039,"2019-11-16 07:58:00","Vilmo Saar",ATTACKER_CENTER,17,575000,0,ALREADY_SOLD,NULL,1809,552077,"3 seasons",0,-,97,"Sport Club Flecha"
11252443,19,101359,8285562,"2019-11-15 23:21:00","Juan Marino",DEFENDER_LEFT,6,2000,0,ALREADY_SOLD,NULL,87,89509,"Until the end of the season",0,-,57,"Maoo United"
11189630,17,94249,13955603,"2019-11-16 06:03:00","Aldemir Donat",MIDFIELDER_CENTER,15,406000,0,ALREADY_SOLD,NULL,830,262750,"2 seasons",0,-,68,"ASAS F.C"
10950085,18,36440,9461258,"2019-11-16 17:40:00","Traian Stancu",MIDFIELDER_CENTER,7,18000,0,ALREADY_SOLD,NULL,80,80141,"Until the end of the season",0,-,12,Hibernia
9999350,20,72894,9706351,"2019-11-16 17:06:00","Mahfuz Alam Chowdhury",MIDFIELDER_LEFT,8,10000,0,ALREADY_SOLD,NULL,197,95681,"Until the end of the season",0,-,16,"NK Dugi Rat"
